Address,Cuisine_Type,Cuisines,Features,Location,Meals,Price,Price_Range,Restaurant,Special_Diets,Segment,Cuisine_Category
"320 Paul W Bryant Dr Hotel Capstone, Tuscaloosa, AL 35401-2094","American,Bar,Pub","American, Bar, Pub","Seating, Television, Wheelchair Accessible, Takeout, Serves Alcohol, Table Service",AL 35401-2094,"Lunch, Breakfast, Dinner",$$ - $$$,,Legends Bistro & Lounge,,Bar/Club,Geography/Ethnic
"3820 Gulf Shores Pkwy, Gulf Shores, AL 36542-2819",,,,AL 36542-2819,,,,Pizza Hut Express,,FSR,Food-Centric
"6125 University Dr NW University Place Shopping Centre, Huntsville, AL 35806-1757","Chinese,Fast Food,Asian","Chinese, Fast Food, Asian","Takeout, Wheelchair Accessible, Drive Thru",AL 35806-1757,Dinner,$,,Panda Express,,LSR,Geography/Ethnic
"23095 Perdido Beach Blvd, Orange Beach, AL 36561-3048",,,,AL 36561-3048,,,,Yellow Cottage Bakery Cafe,,FSR,Food-Centric
"5561 Grove Blvd, Hoover, AL 35226-4600","Mexican,Southwestern","Takeout, Seating, Wheelchair Accessible, Table Service, Serves Alcohol","Mexican, Southwestern",AL 35226-4600,"Lunch, Dinner",$$ - $$$,,Frontera Grill,,FSR,Geography/Ethnic
"2110 South Mckenzie Street, Foley, AL 36535",,,,AL 36535,"Lunch, Dinner",$,,Papa John's Pizza,,LSR,Food-Centric
"101 Enterprise Dr, Gadsden, AL 35904-8225",,,,AL 35904-8225,"Lunch, Dinner",,,Mickey D's,,FSR,Food-Centric
"504 Broad St, Gadsden, AL 35901-3720",Japanese,Japanese,,AL 35901-3720,"Lunch, Dinner",,,Rock-N-Roll Sushi,,FSR,Geography/Ethnic
"1750 S McKenzie St, Foley, AL 36535-1755","American,Cafe,Fast Food,Deli","American, Cafe, Fast Food, Deli",,AL 36535-1755,,,,Jimmy John's,,LSR,Geography/Ethnic
"585 Shades Crest Rd, Hoover, AL 35226-1249",Diner,Diner,,AL 35226-1249,,,,Wild Roast,,FSR,Food-Centric
"1559 Montgomery Hwy, Hoover, AL 35216-4501",,,,AL 35216-4501,,,,PA Que Ronald,,FSR,Food-Centric
"1817 Montgomery Highway S, Hoover, AL 35244",American,American,"Takeout, Seating, Wheelchair Accessible, Table Service",AL 35244,"Lunch, Breakfast",$,,Steak 'n Shake,,LSR,Geography/Ethnic
"6215 Tattersall Boulevard Suite #101, Hoover, AL 35242",,,Gift Cards Available,AL 35242,"Breakfast, Lunch, Dinner",,,Clean Juice,,FSR,Food-Centric
"3050 Ross Clark Cir, Dothan, AL 36301-1122","American,Bar,Pub","American, Bar, Pub","Takeout, Seating, Television, Serves Alcohol, Table Service",AL 36301-1122,"Lunch, Dinner",$$ - $$$,,Applebee's,,Bar/Club,Geography/Ethnic
